# ik    E (eV)      weight
    0.000000  -14.825000    0.053183
    0.000000  -14.800000    0.064597
    0.000000  -14.775000    0.077866
    0.000000  -14.750000    0.090001
    0.000000  -14.725000    0.099408
    0.000000  -14.700000    0.098182
    0.000000  -14.675000    0.087496
    0.000000  -14.650000    0.078503
    0.000000  -14.625000    0.074566
    0.000000  -14.600000    0.074709
    0.000000  -14.575000    0.077890
    0.000000  -14.550000    0.083706
    0.000000  -14.525000    0.092334
    0.000000  -14.500000    0.104538
    0.000000  -14.475000    0.121847
    0.000000  -14.450000    0.146614
    0.000000  -14.425000    0.179534
    0.000000  -14.400000    0.210419
    0.000000  -14.375000    0.222128
    0.000000  -14.350000    0.225046
    0.000000  -14.325000    0.238355
    0.000000  -14.300000    0.268001
    0.000000  -14.275000    0.316607
    0.000000  -14.250000    0.389916
    0.000000  -14.225000    0.499633
    0.000000  -14.200000    0.667584
    0.000000  -14.175000    0.933550
    0.000000  -14.150000    1.365809
    0.000000  -14.125000    2.047411
    0.000000  -14.100000    2.897685
    0.000000  -14.075000    3.276395
    0.000000  -14.050000    2.708099
    0.000000  -14.025000    1.870747
    0.000000  -14.000000    1.259226
    0.000000  -13.975000    0.880496
    0.000000  -13.950000    0.649162
    0.000000  -13.925000    0.504511
    0.000000  -13.900000    0.411997
    0.000000  -13.875000    0.352590
    0.000000  -13.850000    0.315798
    0.000000  -13.825000    0.296005
    0.000000  -13.800000    0.290694
    0.000000  -13.775000    0.299763
    0.000000  -13.750000    0.325621
    0.000000  -13.725000    0.374156
    0.000000  -13.700000    0.457002
    0.000000  -13.675000    0.595846
    0.000000  -13.650000    0.827529
    0.000000  -13.625000    1.191546
    0.000000  -13.600000    1.616893
    0.000000  -13.575000    1.740533
    0.000000  -13.550000    1.402853
    0.000000  -13.525000    0.985583
    0.000000  -13.500000    0.694865
    0.000000  -13.475000    0.518426
    0.000000  -13.450000    0.413485
    0.000000  -13.425000    0.351559
    0.000000  -13.400000    0.316880
    0.000000  -13.375000    0.301169
    0.000000  -13.350000    0.300454
    0.000000  -13.325000    0.313537
    0.000000  -13.300000    0.341442
    0.000000  -13.275000    0.387594
    0.000000  -13.250000    0.458741
    0.000000  -13.225000    0.567023
    0.000000  -13.200000    0.733985
    0.000000  -13.175000    0.998407
    0.000000  -13.150000    1.429094
    0.000000  -13.125000    2.122957
    0.000000  -13.100000    3.071175
    0.000000  -13.075000    3.712202
    0.000000  -13.050000    3.283886
    0.000000  -13.025000    2.327882
    0.000000  -13.000000    1.564331
    0.000000  -12.975000    1.082719
    0.000000  -12.950000    0.789423
    0.000000  -12.925000    0.607834
    0.000000  -12.900000    0.493563
    0.000000  -12.875000    0.422546
    0.000000  -12.850000    0.382255
    0.000000  -12.825000    0.367208
    0.000000  -12.800000    0.377274
    0.000000  -12.775000    0.418030
    0.000000  -12.750000    0.503208
    0.000000  -12.725000    0.658814
    0.000000  -12.700000    0.919736
    0.000000  -12.675000    1.266569
    0.000000  -12.650000    1.454671
    0.000000  -12.625000    1.239575
    0.000000  -12.600000    0.874441
    0.000000  -12.575000    0.596383
    0.000000  -12.550000    0.420505
    0.000000  -12.525000    0.310649
    0.000000  -12.500000    0.239568
    0.000000  -12.475000    0.191505
    0.000000  -12.450000    0.157630
    0.000000  -12.425000    0.132880
    0.000000  -12.400000    0.114243
    0.000000  -12.375000    0.099858
    0.000000  -12.350000    0.088540
    0.000000  -12.325000    0.079515
    0.000000  -12.300000    0.072278
    0.000000  -12.275000    0.066513
    0.000000  -12.250000    0.062066
    0.000000  -12.225000    0.058951
    0.000000  -12.200000    0.057382
    0.000000  -12.175000    0.057678
    0.000000  -12.150000    0.059291
    0.000000  -12.125000    0.058798
    0.000000  -12.100000    0.053854
    0.000000  -12.075000    0.048038
    0.000000  -12.050000    0.043895
    0.000000  -12.025000    0.041546
    0.000000  -12.000000    0.040765
    0.000000  -11.975000    0.041583
    0.000000  -11.950000    0.044137
    0.000000  -11.925000    0.048232
    0.000000  -11.900000    0.054459
    0.000000  -11.875000    0.065059
    0.000000  -11.850000    0.077969
    0.000000  -11.825000    0.080268
    0.000000  -11.800000    0.066891
    0.000000  -11.775000    0.051262
    0.000000  -11.750000    0.040199
    0.000000  -11.725000    0.033140
    0.000000  -11.700000    0.028566
    0.000000  -11.675000    0.025475
    0.000000  -11.650000    0.023304
    0.000000  -11.625000    0.021748
    0.000000  -11.600000    0.020652
    0.000000  -11.575000    0.019965
    0.000000  -11.550000    0.019713
    0.000000  -11.525000    0.019961
    0.000000  -11.500000    0.020499
    0.000000  -11.475000    0.020345
    0.000000  -11.450000    0.019040
    0.000000  -11.425000    0.017596
    0.000000  -11.400000    0.016578
    0.000000  -11.375000    0.015965
    0.000000  -11.350000    0.015662
    0.000000  -11.325000    0.015621
    0.000000  -11.300000    0.015852
    0.000000  -11.275000    0.016417
    0.000000  -11.250000    0.017451
    0.000000  -11.225000    0.019202
    0.000000  -11.200000    0.022130
    0.000000  -11.175000    0.027051
    0.000000  -11.150000    0.035198
    0.000000  -11.125000    0.047029
    0.000000  -11.100000    0.056925
    0.000000  -11.075000    0.053678
    0.000000  -11.050000    0.041229
    0.000000  -11.025000    0.030296
    0.000000  -11.000000    0.023172
    0.000000  -10.975000    0.018736
    0.000000  -10.950000    0.015895
    0.000000  -10.925000    0.013992
    0.000000  -10.900000    0.012660
    0.000000  -10.875000    0.011692
    0.000000  -10.850000    0.010967
    0.000000  -10.825000    0.010413
    0.000000  -10.800000    0.009988
    0.000000  -10.775000    0.009668
    0.000000  -10.750000    0.009440
    0.000000  -10.725000    0.009283
    0.000000  -10.700000    0.009136
    0.000000  -10.675000    0.008978
    0.000000  -10.650000    0.008876
    0.000000  -10.625000    0.008882
    0.000000  -10.600000    0.009032
    0.000000  -10.575000    0.009393
    0.000000  -10.550000    0.010061
    0.000000  -10.525000    0.011015
    0.000000  -10.500000    0.011645
    0.000000  -10.475000    0.011208
    0.000000  -10.450000    0.010326
    0.000000  -10.425000    0.009730
    0.000000  -10.400000    0.009526
    0.000000  -10.375000    0.009664
    0.000000  -10.350000    0.010153
    0.000000  -10.325000    0.011099
    0.000000  -10.300000    0.012746
    0.000000  -10.275000    0.015535
    0.000000  -10.250000    0.019943
    0.000000  -10.225000    0.025123
    0.000000  -10.200000    0.026691
    0.000000  -10.175000    0.022698
    0.000000  -10.150000    0.017792
    0.000000  -10.125000    0.014534
    0.000000  -10.100000    0.012829
    0.000000  -10.075000    0.012073
    0.000000  -10.050000    0.011544
    0.000000  -10.025000    0.010996
    0.000000  -10.000000    0.010844
    0.000000   -9.975000    0.011384
    0.000000   -9.950000    0.012744
    0.000000   -9.925000    0.014520
    0.000000   -9.900000    0.014973
    0.000000   -9.875000    0.013363
    0.000000   -9.850000    0.011469
    0.000000   -9.825000    0.010248
    0.000000   -9.800000    0.009658
    0.000000   -9.775000    0.009531
    0.000000   -9.750000    0.009770
    0.000000   -9.725000    0.010348
    0.000000   -9.700000    0.011379
    0.000000   -9.675000    0.013155
    0.000000   -9.650000    0.016160
    0.000000   -9.625000    0.021099
    0.000000   -9.600000    0.028182
    0.000000   -9.575000    0.034471
    0.000000   -9.550000    0.034462
    0.000000   -9.525000    0.028207
    0.000000   -9.500000    0.021059
    0.000000   -9.475000    0.015983
    0.000000   -9.450000    0.012823
    0.000000   -9.425000    0.010868
    0.000000   -9.400000    0.009627
    0.000000   -9.375000    0.008818
    0.000000   -9.350000    0.008286
    0.000000   -9.325000    0.007940
    0.000000   -9.300000    0.007730
    0.000000   -9.275000    0.007627
    0.000000   -9.250000    0.007619
    0.000000   -9.225000    0.007702
    0.000000   -9.200000    0.007886
    0.000000   -9.175000    0.008192
    0.000000   -9.150000    0.008661
    0.000000   -9.125000    0.009363
    0.000000   -9.100000    0.010422
    0.000000   -9.075000    0.012057
    0.000000   -9.050000    0.014666
    0.000000   -9.025000    0.018921
    0.000000   -9.000000    0.025609
    0.000000   -8.975000    0.033781
    0.000000   -8.950000    0.037017
    0.000000   -8.925000    0.031219
    0.000000   -8.900000    0.023191
    0.000000   -8.875000    0.017414
    0.000000   -8.850000    0.013846
    0.000000   -8.825000    0.011663
    0.000000   -8.800000    0.010293
    0.000000   -8.775000    0.009407
    0.000000   -8.750000    0.008825
    0.000000   -8.725000    0.008441
    0.000000   -8.700000    0.008195
    0.000000   -8.675000    0.008051
    0.000000   -8.650000    0.007987
    0.000000   -8.625000    0.007994
    0.000000   -8.600000    0.008070
    0.000000   -8.575000    0.008222
    0.000000   -8.550000    0.008470
    0.000000   -8.525000    0.008839
    0.000000   -8.500000    0.009333
    0.000000   -8.475000    0.009945
    0.000000   -8.450000    0.010752
    0.000000   -8.425000    0.011681
    0.000000   -8.400000    0.012434
    0.000000   -8.375000    0.013296
    0.000000   -8.350000    0.014757
    0.000000   -8.325000    0.016234
    0.000000   -8.300000    0.016238
    0.000000   -8.275000    0.015203
    0.000000   -8.250000    0.014576
    0.000000   -8.225000    0.014764
    0.000000   -8.200000    0.015776
    0.000000   -8.175000    0.017742
    0.000000   -8.150000    0.021068
    0.000000   -8.125000    0.026574
    0.000000   -8.100000    0.035479
    0.000000   -8.075000    0.047838
    0.000000   -8.050000    0.056878
    0.000000   -8.025000    0.052325
    0.000000   -8.000000    0.040369
    0.000000   -7.975000    0.030729
    0.000000   -7.950000    0.024876
    0.000000   -7.925000    0.021672
    0.000000   -7.900000    0.020190
    0.000000   -7.875000    0.019994
    0.000000   -7.850000    0.021041
    0.000000   -7.825000    0.023629
    0.000000   -7.800000    0.028155
    0.000000   -7.775000    0.033562
    0.000000   -7.750000    0.035039
    0.000000   -7.725000    0.030678
    0.000000   -7.700000    0.025462
    0.000000   -7.675000    0.021958
    0.000000   -7.650000    0.019969
    0.000000   -7.625000    0.018936
    0.000000   -7.600000    0.018488
    0.000000   -7.575000    0.018418
    0.000000   -7.550000    0.018615
    0.000000   -7.525000    0.019017
    0.000000   -7.500000    0.019596
    0.000000   -7.475000    0.020341
    0.000000   -7.450000    0.021257
    0.000000   -7.425000    0.022364
    0.000000   -7.400000    0.023695
    0.000000   -7.375000    0.025310
    0.000000   -7.350000    0.027300
    0.000000   -7.325000    0.029816
    0.000000   -7.300000    0.033089
    0.000000   -7.275000    0.037466
    0.000000   -7.250000    0.043544
    0.000000   -7.225000    0.052449
    0.000000   -7.200000    0.065325
    0.000000   -7.175000    0.079566
    0.000000   -7.150000    0.084708
    0.000000   -7.125000    0.078495
    0.000000   -7.100000    0.071918
    0.000000   -7.075000    0.070130
    0.000000   -7.050000    0.073046
    0.000000   -7.025000    0.079816
    0.000000   -7.000000    0.089434
    0.000000   -6.975000    0.101268
    0.000000   -6.950000    0.117472
    0.000000   -6.925000    0.142437
    0.000000   -6.900000    0.181841
    0.000000   -6.875000    0.244990
    0.000000   -6.850000    0.345657
    0.000000   -6.825000    0.486697
    0.000000   -6.800000    0.598803
    0.000000   -6.775000    0.563194
    0.000000   -6.750000    0.438517
    0.000000   -6.725000    0.338258
    0.000000   -6.700000    0.283622
    0.000000   -6.675000    0.263529
    0.000000   -6.650000    0.269101
    0.000000   -6.625000    0.297774
    0.000000   -6.600000    0.352485
    0.000000   -6.575000    0.442771
    0.000000   -6.550000    0.589400
    0.000000   -6.525000    0.827917
    0.000000   -6.500000    1.207895
    0.000000   -6.475000    1.720363
    0.000000   -6.450000    2.048462
    0.000000   -6.425000    1.797976
    0.000000   -6.400000    1.286426
    0.000000   -6.375000    0.888288
    0.000000   -6.350000    0.643260
    0.000000   -6.325000    0.500959
    0.000000   -6.300000    0.421980
    0.000000   -6.275000    0.384799
    0.000000   -6.250000    0.379774
    0.000000   -6.225000    0.405397
