      IKPOINT        IBAND        SPIN_X        SPIN_Y        SPIN_Z        
      1.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999994551095194
      2.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000000870013894
      3.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000003964403081
      4.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000002234550527
      5.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000000771014286
      6.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000004019639548
      7.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999996155571974
      8.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000000960344164
      9.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999993330480145
     10.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000002703092772
     11.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000002323736246
     12.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999998647258523
     13.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000000101079174
     14.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000001969964951
     15.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000001713442044
     16.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999997521244880
     17.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000001846811739
     18.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000001156517346
     19.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999999631046567
     20.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999999871084631
     21.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999995994672866
     22.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000000929130408
     23.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000000034889514
     24.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999997542815723
     25.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999996925933701
     26.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000003211302906
     27.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999995988409509
     28.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999998997618909
     29.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999998810739898
     30.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999997697388197
     31.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000000718645363
     32.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999993691102481
     33.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999996042374216
     34.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000001108633465
     35.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999999264412081
     36.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000006659677545
     37.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999999778751775
     38.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000001705588344
     39.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000000806697087
     40.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999997285309455
     41.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000005000040604
     42.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000002459989052
     43.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000000366190391
     44.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999999190058745
     45.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999996759664405
     46.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999998151238418
     47.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999999293781200
     48.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000001323631167
     49.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000001153053490
     50.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999999865368991
     51.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000005284332127
     52.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000009178528735
     53.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000010046117584
     54.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999991359601252
     55.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999984660535021
     56.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000017904586151
     57.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000019503697730
     58.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000013860838550
     59.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999989503850419
     60.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000010377333386
     61.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000010007150895
     62.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000017674045767
     63.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000004262778817
     64.0000000      1.0000000       0.0000000000000000       0.0000000000000000       1.0000002941013693
     65.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999984282048425
     66.0000000      1.0000000       0.0000000000000000       0.0000000000000000       0.9999974681447239
