# ik    E (eV)      weight
    0.000000  -14.825000    0.040622
    0.000000  -14.800000    0.043116
    0.000000  -14.775000    0.045863
    0.000000  -14.750000    0.048898
    0.000000  -14.725000    0.052264
    0.000000  -14.700000    0.056013
    0.000000  -14.675000    0.060206
    0.000000  -14.650000    0.064919
    0.000000  -14.625000    0.070243
    0.000000  -14.600000    0.076290
    0.000000  -14.575000    0.083201
    0.000000  -14.550000    0.091152
    0.000000  -14.525000    0.100366
    0.000000  -14.500000    0.111130
    0.000000  -14.475000    0.123817
    0.000000  -14.450000    0.138919
    0.000000  -14.425000    0.157098
    0.000000  -14.400000    0.179252
    0.000000  -14.375000    0.206636
    0.000000  -14.350000    0.241031
    0.000000  -14.325000    0.285034
    0.000000  -14.300000    0.342539
    0.000000  -14.275000    0.419561
    0.000000  -14.250000    0.525732
    0.000000  -14.225000    0.677060
    0.000000  -14.200000    0.901180
    0.000000  -14.175000    1.247276
    0.000000  -14.150000    1.802536
    0.000000  -14.125000    2.701783
    0.000000  -14.100000    4.016418
    0.000000  -14.075000    5.203385
    0.000000  -14.050000    4.996567
    0.000000  -14.025000    3.668039
    0.000000  -14.000000    2.447247
    0.000000  -13.975000    1.649947
    0.000000  -13.950000    1.160521
    0.000000  -13.925000    0.854267
    0.000000  -13.900000    0.655213
    0.000000  -13.875000    0.520832
    0.000000  -13.850000    0.427110
    0.000000  -13.825000    0.360044
    0.000000  -13.800000    0.311159
    0.000000  -13.775000    0.275157
    0.000000  -13.750000    0.248627
    0.000000  -13.725000    0.229338
    0.000000  -13.700000    0.215818
    0.000000  -13.675000    0.207111
    0.000000  -13.650000    0.202638
    0.000000  -13.625000    0.202110
    0.000000  -13.600000    0.205495
    0.000000  -13.575000    0.213008
    0.000000  -13.550000    0.225144
    0.000000  -13.525000    0.242744
    0.000000  -13.500000    0.267119
    0.000000  -13.475000    0.300262
    0.000000  -13.450000    0.345205
    0.000000  -13.425000    0.406637
    0.000000  -13.400000    0.491986
    0.000000  -13.375000    0.613419
    0.000000  -13.350000    0.791585
    0.000000  -13.325000    1.062775
    0.000000  -13.300000    1.491969
    0.000000  -13.275000    2.190348
    0.000000  -13.250000    3.294646
    0.000000  -13.225000    4.682697
    0.000000  -13.200000    5.321414
    0.000000  -13.175000    4.404431
    0.000000  -13.150000    3.024121
    0.000000  -13.125000    2.007779
    0.000000  -13.100000    1.373439
    0.000000  -13.075000    0.980944
    0.000000  -13.050000    0.729646
    0.000000  -13.025000    0.561862
