  1.837404324602E-01  1.952867991765E-01  2.080524943839E-01  2.222203140734E-01
  2.380090581214E-01  2.556824217474E-01  2.755605585864E-01  2.980352720947E-01
  3.235901943006E-01  3.528279096439E-01  3.865068872636E-01  4.255924790653E-01
  4.713284276909E-01  5.253388306546E-01  5.897762434560E-01  6.675412357698E-01
  7.626153289543E-01  8.805787691783E-01  1.029438812494E+00  1.220997431790E+00
  1.473191832155E+00  1.814263890698E+00  2.290528784224E+00  2.981577994520E+00
  4.031566163639E+00  5.716282222336E+00  8.585821842596E+00  1.370005557634E+01
  2.232173062681E+01  3.114697375026E+01  2.856293812210E+01  1.870651747727E+01
  1.146918624135E+01  7.369244088783E+00  5.046339417699E+00  3.657753677191E+00
  2.779581098408E+00  2.196850358924E+00  1.795022630533E+00  1.509699799640E+00
  1.302869936720E+00  1.151156940450E+00  1.039713424836E+00  9.588985048369E-01
  9.023933861291E-01  8.661055293694E-01  8.475766808854E-01  8.456119790935E-01
  8.600837013232E-01  8.919271744960E-01  9.432734587828E-01  1.017752801757E+00
  1.121048567516E+00  1.261851123984E+00  1.453497198802E+00  1.716850157204E+00
  2.085532321400E+00  2.615788867535E+00  3.406101471840E+00  4.639273023479E+00
  6.672511550946E+00  1.021996944163E+01  1.655457214017E+01  2.622557610834E+01
  3.191079760247E+01  2.492032872093E+01  1.551900536151E+01  9.608586902727E+00
  6.299092364234E+00  4.383547754217E+00  3.207205613401E+00  2.442905768894E+00
  1.921812336557E+00  1.551980474948E+00  1.280578477043E+00  1.075746713224E+00
  9.174444054068E-01  7.925953152032E-01  6.923919854513E-01  6.107354981102E-01
  5.432986122060E-01  4.869445393815E-01  4.393557228493E-01  3.987905111636E-01
  3.639199108085E-01  3.337157459963E-01  3.073725728051E-01  2.842522150011E-01
  2.638437458244E-01  2.457341973647E-01  2.295868377798E-01  2.151248645585E-01
  2.021190255894E-01  1.903781239102E-01  1.797416638144E-01  1.700741040165E-01
  1.612603288710E-01  1.532020513637E-01  1.458149350764E-01  1.390262754465E-01
  1.327731194432E-01  1.270007313868E-01  1.216613339229E-01  1.167130691286E-01
  1.121191368053E-01  1.078470762145E-01  1.038681645768E-01  1.001569111131E-01
  9.669062965001E-02  9.344907613614E-02  9.041414003072E-02  8.756958059502E-02
  8.490080076631E-02  8.239465261124E-02  8.003926941529E-02  7.782392032053E-02
  7.573888411837E-02  7.377533936932E-02  7.192526848477E-02  7.018137378589E-02
