148  1          0.00000000  ! NKPTS, jspins, ef (eV)
3  ! number of segments; positions:
    1.705599    2.690327    4.659782
1  90  1  0.000000  0.000000  0.000000         0.000000
  -21.9529680516           4.69487E-01
  -18.6690140585           1.42049E-10
  -18.6689924946           6.67435E-10
  -18.6688921697           3.53103E-11
  -18.6688657693           4.16153E-11
  -18.6687707608           1.17621E-10
  -18.6687504619           5.34023E-10
  -14.4742115067           8.59268E-02
  -13.2727118921           9.06357E-02
  -12.8529309951           4.67302E-10
  -12.8529309942           4.93991E-10
  -12.6882068703           1.23451E-03
  -12.6882017746           1.13355E-03
  -12.6881983887           1.12539E-03
  -12.4427429630           1.41504E-03
  -12.4427368371           1.44388E-03
  -12.4427278608           1.33964E-03
  -12.3960586919           1.46905E-08
  -12.3960566409           3.62737E-09
  -12.3960208226           1.25675E-08
  -12.3960194863           5.09339E-09
   -9.7134715607           3.87485E-01
   -9.4895622973           8.35275E-11
   -9.4895423653           1.02717E-09
   -9.4895390973           1.44367E-10
   -9.4895061056           1.03985E-10
   -9.4894965996           9.28141E-11
   -9.4894761326           4.02240E-08
   -6.1530914626           6.29347E-03
   -6.1530908163           5.33261E-03
   -6.1530806924           6.35979E-03
   -6.0059163589           1.02178E-01
   -5.4240041091           6.75286E-06
   -5.4239119549           7.08382E-06
   -5.4237938690           7.06611E-06
   -5.4236615776           1.00097E-06
   -5.4235337405           1.24243E-06
   -5.4234336735           1.27319E-06
   -5.2935937969           5.18122E-10
   -5.2935881664           8.20099E-10
   -5.2935048404           2.15549E-10
   -5.2934597992           4.53999E-10
   -5.2934138548           6.91359E-10
   -5.2934014748           2.27252E-10
   -5.1969005140           4.75077E-03
   -5.1968923644           5.04467E-03
   -5.1968769760           4.88489E-03
   -4.4899218435           3.03006E-03
   -4.4899132829           3.05692E-03
   -4.4899023734           2.78450E-03
   -3.5602756688           1.80345E-04
   -3.5602575950           1.70840E-04
   -3.5602524393           1.73499E-04
   -3.0183790865           5.56404E-05
   -3.0183673796           5.36831E-05
   -2.3163490384           4.78877E-03
   -2.3163389570           5.04609E-03
   -2.3163247833           4.80928E-03
   -2.2208653382           9.20449E-02
   -1.9076975509           3.09046E-05
   -1.9076423902           2.98459E-05
   -1.3940932438           1.56373E-04
   -1.3940848445           1.71157E-04
   -1.3940817088           1.71270E-04
   -1.1446991031           3.83290E-01
   -1.1446324105           3.84265E-01
   -1.0709779683           1.97065E-03
   -1.0709732849           2.13351E-03
   -1.0709607311           1.99461E-03
   -0.4729768511           8.48534E-02
    1.3917585859           9.69462E-09
    1.3917650348           2.32567E-08
    1.3917952846           1.12746E-08
    1.3918008064           2.25567E-08
    1.7536556672           2.90621E-05
    1.7536586215           2.99233E-05
    1.7536651813           2.69513E-05
    2.2616964582           2.72987E-02
    2.2616983712           2.79532E-02
    2.2617162201           2.97084E-02
    2.3307857186           5.82660E-05
    2.3307618282           5.83076E-05
    2.5459610402           7.16165E-05
    2.5459968959           7.13123E-05
    3.3908169108           3.02860E-01
    3.4466717362           9.07875E-03
    3.4478040856           9.01639E-03
    3.4781361168           1.05813E-02
    3.8105462411           2.44701E-04
    3.9167021356           3.75732E-02
2  90  1  0.030612  0.030612  0.000000         0.034808
  -21.9498406999           4.69489E-01
  -18.8636261189           4.56151E-11
  -18.7646937012           7.64332E-10
  -18.7646914577           4.32016E-11
  -18.5671740318           6.14110E-10
  -18.5671714992           3.39868E-11
  -18.4685880160           3.67228E-11
  -14.4709191917           8.59052E-02
  -13.2711220102           9.06058E-02
  -12.9468906997           2.80292E-10
  -12.9468898167           2.71799E-10
  -12.6936786886           1.24636E-03
  -12.6884866662           1.13312E-03
  -12.6884836245           1.12220E-03
  -12.4751079004           3.01377E-08
  -12.4751069515           6.13814E-09
  -12.4451097422           1.34328E-03
  -12.4425849906           1.42112E-03
  -12.4425786743           1.45334E-03
  -12.2170542924           6.19601E-10
  -12.2170516151           2.98337E-10
   -9.8285389915           2.47234E-08
   -9.7092841637           3.87483E-01
   -9.6579902231           1.85283E-08
   -9.6579895988           2.40035E-07
   -9.3181856334           5.85591E-10
   -9.3181850488           4.33734E-09
   -9.1486611523           1.31643E-09
   -6.1482602947           6.28980E-03
   -6.1482596555           5.33887E-03
   -6.1473896143           6.29704E-03
   -6.0019567099           1.02139E-01
   -5.6695145044           1.69569E-06
   -5.5443017781           2.13767E-06
   -5.5442963201           2.13244E-06
   -5.4001957281           1.66577E-10
   -5.3580120417           4.07194E-10
   -5.3580097117           2.06511E-10
   -5.2961440873           1.94192E-05
   -5.2961383930           1.93762E-05
   -5.2485057251           4.49844E-09
   -5.2485035775           1.33051E-09
   -5.1977497556           5.03008E-03
   -5.1977344900           4.86394E-03
   -5.1929404275           4.42948E-03
   -5.1808233724           1.02439E-08
   -5.1711445351           3.84883E-04
   -4.4880491854           3.05229E-03
   -4.4880382640           2.77433E-03
   -4.4871863603           3.04659E-03
   -3.5605712802           1.92583E-04
   -3.5605661024           1.91873E-04
   -3.5575149281           1.80686E-04
   -3.0264259597           1.42882E-04
   -3.0147319749           5.53743E-05
   -2.3150702750           4.79583E-03
   -2.3150601846           5.05313E-03
   -2.3143358678           4.81309E-03
   -2.2520429142           8.52816E-02
   -1.9135285088           3.11432E-05
   -1.8813913849           9.50965E-03
   -1.4226297722           2.23911E-04
   -1.4226263684           2.35317E-04
   -1.3974475251           1.58452E-04
   -1.1559211415           3.83440E-01
   -1.1526881582           3.83299E-01
   -1.0774747109           2.06883E-03
   -1.0567773186           1.93554E-03
   -1.0567728583           2.09523E-03
