  9.665300082772E-03  9.921965875157E-03  1.020568142376E-02  1.052020536731E-02
  1.086983648465E-02  1.125945954043E-02  1.169456973509E-02  1.218125516736E-02
  1.272610461949E-02  1.333599058340E-02  1.401765393846E-02  1.477698804782E-02
  1.561789186965E-02  1.654054929795E-02  1.753902763774E-02  1.859822719200E-02
  1.969052795417E-02  2.077301232802E-02  2.178680335430E-02  2.266047097235E-02
  2.331894338931E-02  2.369734276172E-02  2.375607729708E-02  2.349133541762E-02
  2.293614515084E-02  2.215148154678E-02  2.121160165711E-02  2.018956447628E-02
  1.914719691925E-02  1.813066036682E-02  1.717045697019E-02  1.628392741250E-02
  1.547857997769E-02  1.475524309004E-02  1.411060622346E-02  1.353907067531E-02
  1.303399994153E-02  1.258851060605E-02  1.219593862477E-02  1.185008921778E-02
  1.154534936434E-02  1.127671718672E-02  1.103978392910E-02  1.083069117915E-02
  1.064607720436E-02  1.048302056665E-02  1.033898556652E-02  1.021177183885E-02
  1.009946908655E-02  1.000041716629E-02  9.913171317226E-03  9.836472113644E-03
  9.769219636445E-03  9.710451345191E-03  9.659323156723E-03  9.615093279966E-03
  9.577108406886E-03  9.544791910622E-03  9.517633749875E-03  9.495181822185E-03
  9.477034547169E-03  9.462834494130E-03  9.452262897123E-03  9.445034924887E-03
  9.440895593744E-03  9.439616228944E-03  9.440991394630E-03  9.444836224908E-03
  9.450984098869E-03  9.459284611121E-03  9.469601796689E-03  9.481812575323E-03
  9.495805385404E-03  9.511478982024E-03  9.528741377520E-03  9.547508905817E-03
  9.567705394627E-03  9.589261431756E-03  9.612113713695E-03  9.636204466269E-03
  9.661480928541E-03  9.687894892303E-03  9.715402290525E-03  9.743962828997E-03
  9.773539656133E-03  9.804099066559E-03  9.835610234651E-03  9.868044974668E-03
  9.901377524548E-03  9.935584350767E-03  9.970643972007E-03  1.000653679961E-02
  1.004324499310E-02  1.008075232910E-02  1.011904408241E-02  1.015810691791E-02
  1.019792879227E-02  1.023849886437E-02  1.027980741379E-02  1.032184576642E-02
  1.036460622652E-02  1.040808201473E-02  1.045226721139E-02  1.049715670469E-02
  1.054274614323E-02  1.058903189256E-02  1.063601099546E-02  1.068368113543E-02
  1.073204060329E-02  1.078108826661E-02  1.083082354155E-02  1.088124636723E-02
  1.093235718204E-02  1.098415690211E-02  1.103664690144E-02  1.108982899383E-02
  1.114370541627E-02  1.119827881377E-02  1.125355222556E-02  1.130952907245E-02
  1.136621314537E-02  1.142360859490E-02  1.148171992190E-02  1.154055196890E-02
  1.160010991246E-02  1.166039925630E-02  1.172142582513E-02  1.178319575923E-02
  1.184571550969E-02  1.190899183423E-02  1.197303179362E-02  1.203784274870E-02
  1.210343235783E-02  1.216980857493E-02  1.223697964793E-02  1.230495411771E-02
  1.237374081742E-02  1.244334887230E-02  1.251378769979E-02  1.258506701008E-02
  1.265719680706E-02  1.273018738954E-02  1.280404935289E-02  1.287879359099E-02
  1.295443129848E-02  1.303097397336E-02  1.310843341996E-02  1.318682175206E-02
  1.326615139650E-02  1.334643509695E-02  1.342768591804E-02  1.350991724981E-02
  1.359314281237E-02  1.367737666095E-02  1.376263319116E-02  1.384892714459E-02
  1.393627361471E-02  1.402468805303E-02  1.411418627558E-02  1.420478446972E-02
