   1.00000000000000     
   2.00000000000000       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000   2.00000000000000       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000   1.00000000000000     
   5.68513852073984       0.000000000000000E+000  0.000000000000000E+000
   2.84256926036992        4.92347438299419       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000   40.8885327392807     
  0  0  0
  1  0  0
  0  1  0
  1  1  0
  0  0  0
  1  0  0
  0  1  0
  1  1  0
  0  0  0
  1  0  0
  0  1  0
  1  1  0
  0  0  0
  1  0  0
  0  1  0
  1  1  0
  0  0  0
  1  0  0
  0  1  0
  1  1  0
  0  0  0
  1  0  0
  0  1  0
  1  1  0
  0  0  0
  1  0  0
  0  1  0
  1  1  0
  0  0  0
  1  0  0
  0  1  0
  1  1  0
  0  0  0
  1  0  0
  0  1  0
  1  1  0
  0  0  0
  1  0  0
  0  1  0
  1  1  0
